"Event_LegacyPollen","Event_PANGAEA","Event_Neotoma","Neotoma_DOI","Data_Source","Site_ID","Dataset_ID","Site_Name","Latitude","Longitude","Elevation","Continent","Archive_Type","Data_Type","Number_Pollen_Samples","AgeModel_Source","Number_Datings","minimum_meanAge","maximum_meanAge","mean_resolution_meanAge","range_meanAge","Site_Description","Submission_Pollendata","Publication_1","Publication_DOI_1","Publication_2","Publication_DOI_2","Publication_3","Publication_DOI_3","Publication_4","Publication_DOI_4","Publication_5","Publication_DOI_5","Publication_6","Publication_DOI_6","Publication_7","Publication_DOI_7","Publication_8","Publication_DOI_8"
"3PINES","3PINES","3PINES","10.21233/n3bc7k","LegacyPollen 1.0",7,7,"Three Pines Bog",47,-80.1167,294,"Eastern North America","Peat","Raw",41,"AWI",2,207,7394,179.7,7187,"Bog.",NA,"Gordon, D.L., 1990. Prehistoric occupations at Lake Temagami. In: Temagami: a debate on wilderness, ed. by Bray, M. and Thomson, A. (pp.152-183). Dunburn Press, Toronto, Ontario, Canada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABALONE","ABALONE","ABALONE","10.21233/n36p49","LegacyPollen 1.0",8,8,"Abalone Rocks Marsh",33.95639,-119.977,0,"Western North America","Peat","Raw",32,"AWI",8,-49,5845,190.1,5894,"Small estuarine marsh. Physiography: Santa Rosa Island. Surrounding vegetation: coastal marsh and grassland.",NA,"Cole, K.L. and Liu, G.W., 1994. Holocene paleoecology of an estuary on Santa Rosa Island, California. Quaternary Research, 41(3), pp.326-335.","https://doi.org/10.1006/qres.1994.1037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADANGE","ADANGE","ADANGE","10.21233/n3301b","LegacyPollen 1.0",9,9,"Adange",43.30556,41.33333,1750,"Europe","Alluvial/Fluvial","Raw",40,"AWI",4,-61,4653,120.9,4714,"Meander of Adange river. Physiography: Fluvial terrace above flood-plain. Surrounding vegetation: Subalpine tall herbaceous vegetation.","1984-08-01 00:00:00","Kvavadze, E.V. and Rukhadze, L.P., 1989. Vegetation and climate of the Holocene of Abkhazia. Metsniereba, Tbilisi, Georgia. Scientific and Publishing Council of the Georgian SSR Academy of Sciences, p.136 (in Russian).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adycha_River","Adycha_River","ADYCHA","10.21233/n3097s","LegacyPollen 1.0",11,11,"Konus Exposure, Adycha River",67.75,135.5833,130,"Asia","Alluvial/Fluvial","Raw",13,"AWI",5,1007,9817,734.2,8810,"Exposure on slope. Surrounding vegetation: open Larix dahurica forest.",NA,"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGE_neotoma","AGE","AGE","10.21233/znex-sp94","LegacyPollen 1.0",12,12,"Ageröds Mosse",55.93448,13.42774,58,"Europe","Peat","Raw",135,"AWI",33,-29,12403,92.8,12432,"Forested Sphagnum bog. Physiography: till. Surrounding vegetation: pasture and arable land.","1960-01-01 00:00:00","Nilsson, T., 1964. Standard pollen diagramme und C14 datiengen aus dem Agerods mosse in mittleren schonen. Lunds Universitets Arsskrift N. F., 59(7), pp.1-52 (in German).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGUILAR","AGUILAR","AGUILAR","10.21233/n3g974","LegacyPollen 1.0",15,15,"Aguilar",-23.8333,-65.75,4000,"South America","Peat","Raw",24,"AWI",3,-56,11192,489,11248,"Fen along creek above Mina Aguilar. Physiography: bog cut by creek draining endmoraines. Surrounding vegetation: Altiplano paramo grassland.","1981-02-01 00:00:00","Markgraf, V., 1985. Paleoenvironmental history of the last 10,000 years in northwestern Argentina. Zentralblatt fur Geologie und Palaontologie. Teil 1, Allgemeine, Angewandte, Regionale und Historische Geologie, 1984(11-12), pp.1739-1749.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AHL5","AHL5","AHL5","10.21233/n3bh6k","LegacyPollen 1.0",16,16,"Ahlenmoor",53.694,8.729075,2,"Europe","Peat","Raw",50,"AWI",5,136,4537,89.8,4401,"Excavated bog. Physiography: Raised bog. Surrounding vegetation: Sphagnetum.","1973-06-26 00:00:00","Behre, K.E. and Kucan, D., 1986. Die Reflektion archaologisch bekannter Siedlungen in Pollendiagrammen verschiedener Entfernung - Beispiele aus der Siedlungskammer Flogeln, Nordwestdeutschland .In: Anthropogenic indicators in pollen diagrams ed. by K.E. Behre (pp.95-114). Balkema, Rotterdam (in German).",NA,"Behre, K.E., 1976. Pollenanalytische Untersuchungen zur Vegetations-und Siedlungsgeschichte bei Flogeln und im Ahlenmoor (Elb-Weser-Winkel). Probleme der Kustenforschung im sudlichen Nordseegebiet, 11, pp.101-118 (in German).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AKULININ","AKULININ","AKULININ","10.21233/n3c887","LegacyPollen 1.0",19,19,"Akulinin Exposure P1282",47.11667,138.55,20,"Asia","Alluvial/Fluvial","Raw",29,"AWI",4,4810,44906,1432,40096,"Exposure in river terrace. Physiography: river valley in mountains. Surrounding vegetation: secondary Betula forest.","1975-06-18 00:00:00","Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.",NA,"Kind, N.V., 1974. Geochronology of the late Anthropogene by isotopic data. Nauka, Moscow (in Russian).",NA,"Korotkii, A.M., Karaulova, L.P. and Troitskaya, T.S., 1980. The Quaternary deposits of Primor'ye. Nauka, Novosibirsk (in Russian).",NA,"Korotky, A.M., Kovalyukh, N.N. and Volkov, V.G., 1989. Radiocarbon dating of Quaternary deposits (south Far East). Preprint. Far East Branch of the USSR Academy of Sciences, Vladivostok (in Russian).",NA,"Korotky, A.M., Pletnev, S.P., Pushkar, V.S., Grebennikova, T.A., Raszhigaeva, N.T., Sahebgareeva, E.D. and Mohova, L.M., 1988. Evolution environment of south Far East (late Pleistocene and Holocene). Nauka, Moscow (in Russian).",NA,NA,NA,NA,NA,NA,NA
"AKUV","AKUV","AKUV","10.21233/n37g69","LegacyPollen 1.0",20,20,"Akuvaara",69.12326,27.67406,170,"Europe","Lake","Raw",34,"AWI",5,-23,10745,326.3,10768,"Lake. Physiography: Hill of sandy/gravelly outwash. Surrounding vegetation: Thin pine forest.","1973-04-01 00:00:00","Hyvarinen, H., 1975. Absolute and relative pollen diagrams from northernmost Fennoscandia. Fennia-International Journal of Geography, 142(1), pp.1-23.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALEXLAKE","ALEXLAKE","ALEXLAKE","10.21233/n3f97t","LegacyPollen 1.0",24,24,"Alexander Lake",53.3,-60.54,143,"Eastern North America","Lake","Raw",25,"AWI",4,4178,7237,127.5,3059,"Physiography: rolling glacial till, eskers, kettles,.","1972-01-01 00:00:00","Jordan, R.H., 1975. Pollen diagrams from Hamilton Inlet, central Labrador, and their environmental implications for the northern Maritime Archaic. Arctic Anthropology, 12(2), pp.92-116.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
