"Dataset_ID","Site_Name","Latitude","Longitude","Elevation","Continent","Pollen.based.Reconstruction","MPI.ESM_GLAC1D","MPI.ESM_ICE6G","CLIMBER.X_GLAC1D","CLIMBER.X_ICE6G","TRACE.21K.I_ICE5G","TRACE.21K.II_ICE5G"
7,"Three Pines Bog",47,-80.1167,294,"North America",3,3,3,3,3,4,4
8,"Abalone Rocks Marsh",33.95639,-119.977,0,"North America",6,6,6,5,7,6,6
9,"Adange",43.30556,41.33333,1750,"Europe",3,3,3,6,6,6,6
12,"Ageröds Mosse",55.93448,13.42774,58,"Europe",3,3,3,3,3,6,4
15,"Aguilar",-23.8333,-65.75,4000,"South America",6,7,7,7,7,6,6
16,"Ahlenmoor",53.694,8.729075,2,"Europe",3,3,3,3,3,6,6
20,"Akuvaara",69.12326,27.67406,170,"Europe",4,4,6,4,4,8,8
25,"Alexis Lake",52.51667,-57.0333,200,"North America",4,4,4,3,3,8,6
32,"Amarete",-15.2333,-68.9833,4000,"South America",6,3,3,7,7,3,2
200,"Amtkel",43.26806,41.30833,1830,"Europe",3,3,3,6,6,6,6
203,"Anderson Pond",36.03,-85.5,303,"North America",3,6,6,2,2,6,7
205,"Andrus Lake",46.70169,-85.039,190,"North America",3,3,3,3,3,4,4
206,"Andy Lake",64.64,-128.08,1360,"North America",4,4,4,4,6,8,8
208,"Angal Lake",67.13,-153.9,820,"North America",4,8,8,4,4,8,8
209,"Lac à l'Ange",47.48,-70.68,648,"North America",3,3,3,3,3,4,4
210,"Antelope Playa",43.5,-105.45,1450,"North America",6,3,3,7,7,4,4
219,"Lac des Atocas",45.54,-73.31,114,"North America",3,3,3,3,3,4,4
221,"Axe Lake",45.39,-79.5,323,"North America",3,3,3,3,3,4,4
224,"Baird Inlet [Rock Basin Lake]",78.49167,-76.78,295,"North America",8,8,8,8,8,8,8
232,"Barchampe Lake",30.63,-83.25,34,"North America",2,2,5,2,2,2,2
234,"Barrett Lake",37.6,-119.01,2816,"North America",3,6,6,6,6,6,6
236,"Baseball Bog",47.23,-79.78,292,"North America",4,3,3,3,3,4,4
