"Dataset_ID","Site_Name","Latitude","Longitude","Elevation","Continent","Megabiome"
7,"Three Pines Bog",47,-80.1167,294,"Eastern North America",3
8,"Abalone Rocks Marsh",33.95639,-119.977,0,"Western North America",6
9,"Adange",43.30556,41.33333,1750,"Europe",3
11,"Konus Exposure, Adycha River",67.75,135.5833,130,"Asia",4
12,"Ageröds Mosse",55.93448,13.42774,58,"Europe",3
15,"Aguilar",-23.8333,-65.75,4000,"South America",6
16,"Ahlenmoor",53.694,8.729075,2,"Europe",3
19,"Akulinin Exposure P1282",47.11667,138.55,20,"Asia",4
20,"Akuvaara",69.12326,27.67406,170,"Europe",4
24,"Alexander Lake",53.3,-60.54,143,"Eastern North America",4
25,"Alexis Lake",52.51667,-57.0333,200,"Eastern North America",4
27,"Aliuk Pond",54.58333,-57.3667,25,"Eastern North America",4
31,"Alut Lake",60.14,152.33,480,"Asia",4
32,"Amarete",-15.2333,-68.9833,4000,"South America",6
33,"Amba River Exposure 596",43.31667,131.8167,5,"Asia",3
68,"Amguema River Valley Exposure 1",67.75,178.7,175,"Asia",8
69,"Amguema River Valley Exposure 2",67.66667,178.6,87,"Asia",4
200,"Amtkel",43.26806,41.30833,1830,"Europe",3
202,"Anderson Lake",46.41667,-92.7167,339,"Eastern North America",3
203,"Anderson Pond",36.03,-85.5,303,"Eastern North America",3
204,"Andree Bog",45.725,-93.25,300,"Eastern North America",3
205,"Andrus Lake",46.70169,-85.039,190,"Eastern North America",3
206,"Andy Lake",64.64,-128.08,1360,"Western North America",8
208,"Angal Lake",67.13,-153.9,820,"Western North America",4
209,"Lac à l'Ange",47.48,-70.68,648,"Eastern North America",3
210,"Antelope Playa",43.5,-105.45,1450,"Western North America",6
212,"Lago do Aquiri",-3.16,-45.01,10,"South America",1
214,"Arrington Marsh",39.495,-95.5267,280,"Eastern North America",6
215,"Arts Lough",52.95,-6.43333,490,"Europe",3
219,"Lac des Atocas",45.54,-73.31,114,"Eastern North America",3
221,"Axe Lake",45.39,-79.5,323,"Eastern North America",3
224,"Baird Inlet [Rock Basin Lake]",78.49167,-76.78,295,"Eastern North America",8
225,"Ballinloghig Lake",52.19,-10.31,84,"Europe",3
226,"Ballybetagh",53.16667,-6.25,250,"Europe",3
230,"Lower Barabaschevka River Exposure 594",43.13333,131.6,5,"Asia",3
232,"Barchampe Lake",30.63,-83.25,34,"Eastern North America",2
234,"Barrett Lake",37.6,-119.01,2816,"Western North America",4
236,"Baseball Bog",47.23,-79.78,292,"Eastern North America",3
238,"Lac Bastien",46.4,-78.9167,305,"Eastern North America",3
239,"Battle Ground Lake",45.8,-122.49,155,"Western North America",3
240,"Battaglia Bog",41.14389,-81.3286,335,"Eastern North America",3
245,"Bear Bog",47.18,-80.16,304,"Eastern North America",3
250,"Beef Pasture",37.47311,-108.16,3060,"Western North America",3
252,"Bega Swamp",-36.5167,149.5,1080,"Indopacific",2
253,"Bell's Lake",65.01667,-127.483,580,"Western North America",4
254,"Belmont Bog",42.25,-77.916667,497,"Eastern North America",4
256,"Belaya Skala Exposure",43.25,134.5667,4,"Asia",3
258,"Bereziuk",54.04722,-76.1203,205,"Eastern North America",4
259,"Berelyekh River, Indigirka Lowland",70.58333,145,20,"Asia",8
260,"Berry Pond",42.51,-73.32,600,"Eastern North America",3
261,"Betenkyos Exposure, Adycha River",67.66667,135.5833,135,"Asia",4
267,"Banks Island 74MS11",71.76,-124.24,30,"Western North America",8
268,"Banks Island 74MS12",72.37,-119.84,220,"Western North America",8
269,"Banks Island 74MS15",73.53444,-120.209,120,"Western North America",8
272,"Big John Pond",47.55918,-94.9708,421,"Eastern North America",3
275,"Billy's Lake",46.27058,-94.5516,383,"Eastern North America",3
278,"Black Pond",35.62,-84.19,262,"Eastern North America",3
279,"Blacktail Pond",44.95611,-110.601,2012,"Western North America",4
281,"BL-Tombigbee",33.56333,-88.4744,49,"Eastern North America",3
285,"Blue Lake",-36.4,148.31,1890,"Indopacific",2
287,"Blue Mounds Creek",43.08333,-89.8667,335,"Eastern North America",3
294,"Serra da Boa Vista",-27.7,-49.15,1160,"South America",1
298,"Bog D Pond",47.1775,-95.1627,460,"Eastern North America",3
302,"Boone Lake",55.575,-119.433,872,"Western North America",3
303,"Border Beacon",55.33333,-63.2,470,"Eastern North America",4
304,"Boriack Bog",30.36,-97.1261,143,"Eastern North America",2
306,"Lac Boucané",47.45778,-69.4528,500,"Eastern North America",3
307,"Boundary Lake",55.25,-67.4,525,"Eastern North America",4
308,"Boundary Pond",45.56,-70.68,603,"Eastern North America",3
309,"Brandreth Bog",43.91667,-74.6833,600,"Eastern North America",3
311,"Brisay 2",54.36,-70.35,595,"Eastern North America",4
312,"Brophy Ditch",43.22,-81.73,184,"Eastern North America",3
313,"Brown Lake",45.77978,-89.4925,448,"Eastern North America",3
314,"Brown's Bay, Lake Minnetonka",44.95769,-93.5451,300,"Eastern North America",3
315,"Brown Lake",40.68056,-82.0625,295,"Eastern North America",3
316,"Browns Pond",38.15472,-79.6164,620,"Eastern North America",3
317,"Bruvatnet [Rovvejávri]",70.18109,28.40721,119,"Europe",4
318,"Buckbean Fen",44.29861,-110.261,2362,"Western North America",4
321,"Bucyrus Bog",40.79722,-82.9333,318,"Eastern North America",3
324,"Burden Lake",42.60379,-73.5618,192,"Eastern North America",3
327,"Byllatskoye Exposure, Byllat River, Indigirka Basin",69.16528,140.0625,316,"Asia",4
328,"Cahaba Pond",33.5,-86.5333,204,"Eastern North America",2
329,"Saint-Calixte",45.96111,-73.8681,261,"Eastern North America",3
330,"Cala Conto",-17.5667,-65.9333,2700,"South America",6
331,"Camel Lake",30.28,-84.99,20,"Eastern North America",2
332,"Camp 11 Lake",46.67,-88.02,549,"Eastern North America",3
333,"Camp 12 Lake",45.98,-89.37,505,"Eastern North America",3
335,"Chistoye Lake Exposure",59.55,151.8333,91,"Asia",8
336,"Candelabra Lake",45.95833,-73.8689,1040,"Eastern North America",3
337,"Tourbière Caribou",47.63972,-71.2358,790,"Eastern North America",3
339,"Lac Caribou",48.19778,-64.94,116,"Eastern North America",3
340,"Caribou Bog",44.93672,-68.7734,37,"Eastern North America",3
341,"Caribou Hill",55.66667,-63.25,475,"Eastern North America",4
342,"Selle di Carnino",44.15,7.694444,1905,"Europe",3
343,"Carp Lake",45.91806,-120.881,714,"Western North America",3
345,"Carter Site",40.21,-84.68,305,"Eastern North America",3
346,"Lac Castor",46.61389,-72.9986,220,"Eastern North America",3
350,"Caunahue",-40,-72,500,"South America",3
351,"Cayambe",-0.03333,-78.0333,4350,"South America",5
352,"Cedar Bog",45.41,-93.2,405,"Eastern North America",3
354,"Chabada Lake",61.97684,129.3779,290,"Asia",4
355,"Chacaltaya 1",-16.3667,-68.15,4750,"South America",6
356,"Chacaltaya 2",-16.3667,-68.15,4350,"South America",6
357,"Chalco Lake",19.5,-99,2240,"Eastern North America",6
361,"Chase Pond",45.65139,-60.675,15,"Eastern North America",3
363,"Chernikhovo",53.41667,26.43333,168,"Europe",3
364,"Chernyii Yar Exposure 955",43.18333,134.4333,4,"Asia",3
365,"Chesnok Peat, Irtysh River",60,66.5,42,"Asia",3
369,"Chippewa Bog",43.12389,-83.2411,270,"Eastern North America",3
374,"Le Marais St Boetien",49.61667,3.816667,73,"Europe",3
375,"Chatsworth Bog",40.67587,-88.3244,219,"Eastern North America",3
381,"Lac Ciel Blanc",59.51667,-122.167,651,"Western North America",4
488,"Isla Clarence",-54.2,-71.233333,10,"South America",4
489,"Clear Lake",43.12507,-93.4297,374,"Eastern North America",6
490,"Clear Lake",41.63854,-86.5446,244,"Eastern North America",3
492,"Clear Pond",33.7989,-78.9534,10,"Eastern North America",2
493,"Clearwater Lake",50.87361,-107.933,686,"Western North America",6
495,"Cerro Calvario",-16.25,-68.5,3950,"South America",6
496,"Coghill Lake",53.91,-66.78,530,"Eastern North America",4
497,"Colo Marsh",42.02,-93.27,329,"Eastern North America",3
501,"Compass Pond",50.03417,-56.1964,236,"Eastern North America",4
506,"Copley Lake",38.87213,-107.083,3250,"Western North America",4
507,"Coppermine Saddleback",67.83333,-115.317,43,"Western North America",8
509,"Cotapampa",-15.2167,-69.1,4450,"South America",6
510,"Tourbière de Lanoraie COTEAU JAUNE",45.96083,-73.3419,18,"Eastern North America",3
