"Longitude","Latitude","Timeslice","Biome_pollen","Biome_ensemble_simulation"
11.25,79.7770462036133,0,"6","8"
18.75,79.7770462036133,0,"8","8"
22.5,79.7770462036133,0,"6","8"
15,76.0702438354492,0,"8","8"
22.5,76.0702438354492,0,"8","8"
97.5,76.0702438354492,0,"4","8"
26.25,72.3615798950195,0,"8","4"
30,72.3615798950195,0,"8","4"
97.5,72.3615798950195,0,"4","8"
101.25,72.3615798950195,0,"4","8"
116.25,72.3615798950195,0,"8","8"
123.75,72.3615798950195,0,"4","8"
127.5,72.3615798950195,0,"4","8"
131.25,72.3615798950195,0,"4","8"
135,72.3615798950195,0,"4","8"
-123.75,72.3615798950195,0,"8","8"
-120,72.3615798950195,0,"8","8"
-97.5,72.3615798950195,0,"8","8"
-93.75,72.3615798950195,0,"8","8"
15,68.6520156860352,0,"8","4"
18.75,68.6520156860352,0,"8","4"
22.5,68.6520156860352,0,"4","4"
26.25,68.6520156860352,0,"4","4"
30,68.6520156860352,0,"4","4"
33.75,68.6520156860352,0,"4","4"
48.75,68.6520156860352,0,"4","8"
63.75,68.6520156860352,0,"4","8"
67.5,68.6520156860352,0,"4","8"
90,68.6520156860352,0,"4","8"
135,68.6520156860352,0,"4","8"
168.75,68.6520156860352,0,"8","8"
172.5,68.6520156860352,0,"8","8"
-161.25,68.6520156860352,0,"4","8"
-157.5,68.6520156860352,0,"4","8"
-153.75,68.6520156860352,0,"4","8"
-150,68.6520156860352,0,"4","8"
-146.25,68.6520156860352,0,"4","8"
-142.5,68.6520156860352,0,"4","8"
-138.75,68.6520156860352,0,"4","8"
-135,68.6520156860352,0,"4","4"
-131.25,68.6520156860352,0,"4","4"
-120,68.6520156860352,0,"4","4"
-116.25,68.6520156860352,0,"4","4"
-63.75,68.6520156860352,0,"8","8"
7.5,64.9419479370117,0,"4","4"
11.25,64.9419479370117,0,"4","4"
15,64.9419479370117,0,"4","4"
18.75,64.9419479370117,0,"4","4"
22.5,64.9419479370117,0,"4","4"
26.25,64.9419479370117,0,"4","4"
30,64.9419479370117,0,"4","4"
33.75,64.9419479370117,0,"4","4"
116.25,64.9419479370117,0,"4","8"
120,64.9419479370117,0,"4","8"
123.75,64.9419479370117,0,"4","4"
127.5,64.9419479370117,0,"4","8"
135,64.9419479370117,0,"4","8"
142.5,64.9419479370117,0,"8","8"
146.25,64.9419479370117,0,"8","8"
176.25,64.9419479370117,0,"8","8"
-172.5,64.9419479370117,0,"8","8"
-161.25,64.9419479370117,0,"4","8"
-157.5,64.9419479370117,0,"4","8"
-150,64.9419479370117,0,"4","8"
-146.25,64.9419479370117,0,"4","8"
-142.5,64.9419479370117,0,"4","8"
-138.75,64.9419479370117,0,"4","8"
-135,64.9419479370117,0,"4","8"
-127.5,64.9419479370117,0,"4","4"
-112.5,64.9419479370117,0,"4","4"
-108.75,64.9419479370117,0,"4","4"
-105,64.9419479370117,0,"4","4"
-67.5,64.9419479370117,0,"4","4"
-63.75,64.9419479370117,0,"4","4"
