"Longitude","Latitude","PNV_MPI_ESM_V3_GLAC1D"
0,87.1590957641602,NA
3.75,87.1590957641602,NA
7.5,87.1590957641602,NA
11.25,87.1590957641602,NA
15,87.1590957641602,NA
18.75,87.1590957641602,NA
22.5,87.1590957641602,NA
26.25,87.1590957641602,NA
30,87.1590957641602,NA
33.75,87.1590957641602,NA
37.5,87.1590957641602,NA
41.25,87.1590957641602,NA
45,87.1590957641602,NA
48.75,87.1590957641602,NA
52.5,87.1590957641602,NA
56.25,87.1590957641602,NA
60,87.1590957641602,NA
63.75,87.1590957641602,NA
67.5,87.1590957641602,NA
71.25,87.1590957641602,NA
75,87.1590957641602,NA
78.75,87.1590957641602,NA
82.5,87.1590957641602,NA
86.25,87.1590957641602,NA
90,87.1590957641602,NA
93.75,87.1590957641602,NA
97.5,87.1590957641602,NA
101.25,87.1590957641602,NA
105,87.1590957641602,NA
108.75,87.1590957641602,NA
112.5,87.1590957641602,NA
116.25,87.1590957641602,NA
120,87.1590957641602,NA
123.75,87.1590957641602,NA
127.5,87.1590957641602,NA
131.25,87.1590957641602,NA
135,87.1590957641602,NA
138.75,87.1590957641602,NA
142.5,87.1590957641602,NA
146.25,87.1590957641602,NA
150,87.1590957641602,NA
153.75,87.1590957641602,NA
157.5,87.1590957641602,NA
161.25,87.1590957641602,NA
165,87.1590957641602,NA
168.75,87.1590957641602,NA
172.5,87.1590957641602,NA
176.25,87.1590957641602,NA
180,87.1590957641602,NA
-176.25,87.1590957641602,NA
-172.5,87.1590957641602,NA
-168.75,87.1590957641602,NA
-165,87.1590957641602,NA
-161.25,87.1590957641602,NA
-157.5,87.1590957641602,NA
-153.75,87.1590957641602,NA
-150,87.1590957641602,NA
-146.25,87.1590957641602,NA
-142.5,87.1590957641602,NA
-138.75,87.1590957641602,NA
-135,87.1590957641602,NA
-131.25,87.1590957641602,NA
-127.5,87.1590957641602,NA
-123.75,87.1590957641602,NA
-120,87.1590957641602,NA
-116.25,87.1590957641602,NA
-112.5,87.1590957641602,NA
-108.75,87.1590957641602,NA
-105,87.1590957641602,NA
-101.25,87.1590957641602,NA
-97.5,87.1590957641602,NA
-93.75,87.1590957641602,NA
-90,87.1590957641602,NA
-86.25,87.1590957641602,NA
-82.5,87.1590957641602,NA
-78.75,87.1590957641602,NA
-75,87.1590957641602,NA
-71.25,87.1590957641602,NA
-67.5,87.1590957641602,NA
-63.75,87.1590957641602,NA
-60,87.1590957641602,NA
-56.25,87.1590957641602,NA
-52.5,87.1590957641602,NA
-48.75,87.1590957641602,NA
-45,87.1590957641602,NA
-41.25,87.1590957641602,NA
-37.5,87.1590957641602,NA
-33.75,87.1590957641602,NA
-30,87.1590957641602,NA
-26.25,87.1590957641602,NA
-22.5,87.1590957641602,NA
-18.75,87.1590957641602,NA
-15,87.1590957641602,NA
-11.25,87.1590957641602,NA
-7.5,87.1590957641602,NA
-3.75,87.1590957641602,NA
0,83.4789352416992,NA
3.75,83.4789352416992,NA
7.5,83.4789352416992,NA
11.25,83.4789352416992,NA
15,83.4789352416992,NA
18.75,83.4789352416992,NA
22.5,83.4789352416992,NA
26.25,83.4789352416992,NA
30,83.4789352416992,NA
33.75,83.4789352416992,NA
